h,2009,2010,2011,2012,2013,2014,2015,2016,2017
98.0,45387.30398952856,52808.144764706994,54426.62076448002,48735.846457479965,41129.98281187877,41902.6094642966,45700.78289856239,50279.66983317188,55102.03996912727
99.0,45962.49492221025,53111.466147293206,54759.88665890373,50082.609457061124,41878.64244849956,42138.583088485655,47024.04074991501,51244.69327514411,56311.27936025265
100.0,48075.83688835533,54662.61499703124,56906.76404975578,52310.46367278617,42083.02765849709,41849.71882439215,50244.070055631426,54303.84835208692,58944.283400770146
101.0,52341.297737455476,59136.87524905917,61564.96121278128,57955.47773819475,42473.730877608396,41048.22220430171,56006.71029050577,59962.72120309945,64502.72889854683
102.0,58750.26037688626,65836.93155408629,68119.54882020487,65227.551248370946,45710.01823591183,42754.96246891053,62264.426211105565,66151.79290586506,70524.3781878049
103.0,62521.31553665889,69051.490548185,70727.62320688844,69404.07995353971,49926.45124215924,45523.58404237014,65820.61801947508,69203.76927495046,73396.45515295796
104.0,63730.939913815324,69929.0716301871,71740.32150542756,71073.57471670209,53800.736631670436,49114.04478972958,66987.00003625626,70178.02248416793,74280.17114223582
105.0,64531.252391310634,70606.95714002391,72644.4396254609,72329.88348496809,56957.97998610743,52295.62020552005,68272.56694034171,71475.317546968,75114.79179877602
106.0,65688.09707614234,71535.27169171124,73453.9532335288,73904.45714119481,59140.72369287664,55206.639655645464,69359.4923655867,72554.17478496459,75758.3675735762
107.0,66158.80576075263,71769.50920068352,73190.56567180683,74006.07856156123,59380.11410458646,55255.46178478803,69382.92187334737,72414.70274659242,75612.14886520535
108.0,65476.97830684344,71385.23015370597,72436.95472990033,72985.39748227666,58144.76924415939,53568.04694629814,68451.85360842335,71449.67930462018,74659.05903618949
109.0,64780.07094084148,70431.0091494134,70982.41035843172,71669.90261203902,56775.04957715936,51922.33434311752,67467.81428247521,70593.36201020273,73623.78788933015
110.0,64459.08424058091,69833.00186844272,70250.3004419719,70727.39185611323,56708.4267739005,51589.7335883338,66976.8132937516,70202.63519682184,73141.37288069056
111.0,66503.48946573042,70555.14423481344,71433.93189281222,71541.47993794961,58464.33285979089,53686.033758392674,68235.894667325,71346.10080553495,74157.43281039166
112.0,69957.86647155472,73707.09596844953,76008.27505659562,74535.40332259063,61989.69543223448,58468.56815898307,71953.03700726782,74135.5415729786,78134.15476214205
113.0,69807.06735062694,74455.1447874255,75910.44539081318,74104.34982521225,62470.73465576459,59980.01990702163,71948.96231026595,73586.8831867351,77882.27435940101
114.0,67707.72815999658,73255.89191890847,74360.2214561068,70862.5148436334,60457.370957280626,58627.240078696406,70082.75108341608,71599.40663993149,75836.27973205117
115.0,63895.74181025783,69933.38937228797,69735.35088252366,66723.9545812389,56781.82477749077,55828.10467452269,65708.56385192405,67518.82398785124,72091.1596760415
116.0,61680.071869197476,66862.39530304323,65890.96753265541,62904.775925710244,54464.706264148605,54158.99813446127,62728.94166931711,64045.354914567535,69054.7200752015
117.0,61466.798826742466,65669.61904767752,65077.15371949817,60794.17719502336,54033.35184304884,53991.1720655337,60829.114192201916,61231.30143446996,67275.54790838243
118.0,57926.25089467373,61423.11969147055,61311.249112510326,55762.24180852859,50247.144057845966,50474.96163957857,56399.91855118483,56683.07724196533,63483.46709931935
119.0,55357.28015601114,58284.12118413708,58105.446218408775,51633.73201628022,45267.37181425972,47436.801228144395,53137.10492694893,53458.811884302515,61124.75654822747
120.0,52945.571357744666,55930.9517391622,55710.23198364745,48582.85596747779,41818.794845572105,45655.810642131255,50779.89271137545,51382.11425412847,58952.82171950713
121.0,51410.651734015446,54318.27506448675,53828.89225706203,47353.3484529348,40585.708385255515,44924.49583268326,49771.40520341617,50247.878412660575,57457.54865069278
122.0,50204.25876659318,53382.40446412288,52763.51644617852,47559.94145038299,40626.35958724397,45201.15456449112,49823.35759018984,50133.01908694231,57034.90187321206
123.0,49810.02677902483,53495.745194270756,52921.54898321169,48637.57519382894,40735.89199260176,46415.60502691242,50605.699414546114,51023.178861258886,57293.186015005835
124.0,50559.713837351526,54547.11539583293,53199.987262746334,50087.07633268162,39859.63274973942,48910.619251635566,52404.678140865384,52756.32404397204,58787.39179397806
125.0,52717.21840319688,58360.76110642755,56062.848800973174,53810.2171623695,38781.24669699002,54024.73727931921,56632.17628029061,56788.70680043838,62120.53797092825
126.0,57702.20648643817,64191.8718136543,61113.43967840078,59084.480551276465,40286.47037061824,59816.26234885595,61711.28609310366,61928.66162633088,66912.66936206061
127.0,60374.582336594096,66865.63360961888,64118.207984575776,62609.96213475716,43495.65692759604,62665.23700986269,64188.70187023189,64953.97422337455,69564.88461973632
128.0,61738.23724441248,67824.17235601232,65689.93294472885,64548.58615405474,47100.06350390609,64072.9417334733,65474.268774317345,66257.42246433812,70583.07912912167
129.0,63194.52589794364,68958.65909301626,67528.2706204209,66132.09356152247,50208.75125596798,65861.05221331974,67016.54158951971,67737.26181265473,71355.79697481875
130.0,64387.99322642924,70096.38413659587,69269.85368160282,67928.89427986914,53653.94062448989,67196.54087090697,68302.10849360516,69299.1435364844,71959.88302546037
131.0,64482.78124529813,70156.83252600806,69183.84957981606,67950.11193906653,54028.8350428279,67291.13374612069,68152.36337878696,69119.67584004959,71419.83436534612
